"STAGE","DATE","PENS","PENS_HOME_SCORE","PENS_AWAY_SCORE","TEAM_NAME_HOME","TEAM_NAME_AWAY","TEAM_HOME_SCORE","TEAM_AWAY_SCORE","POSSESSION_HOME","POSSESSION_AWAY","TOTAL_SHOTS_HOME","TOTAL_SHOTS_AWAY","SHOTS_ON_TARGET_HOME","SHOTS_ON_TARGET_AWAY","DUELS_WON_HOME","DUELS_WON_AWAY","PREDICTION_TEAM_HOME_WIN","PREDICTION_DRAW","PREDICTION_TEAM_AWAY_WIN","LOCATION"
" Group stage: Matchday 1 ","2022-09-06","FALSE","FALSE","FALSE","Dinamo Zagreb","Chelsea","1","0","0.31","0.69","6","15","3","3","0.44","0.56","0.49","10","0.51","Maksimir"
" Group stage: Matchday 1 ","2022-09-06","FALSE","FALSE","FALSE","Salzburg","AC Milan","1","1","0.34","0.66","16","14","4","3","0.38","0.62","0.41","9","0.59","Red Bull Arena"
" Group stage: Matchday 1 ","2022-09-06","FALSE","FALSE","FALSE","Celtic","Real Madrid","0","3","0.35","0.65","10","12","4","6","0.46","0.54","0.47","8","0.53","Celtic Park"
" Group stage: Matchday 1 ","2022-09-06","FALSE","FALSE","FALSE","RB Leipzig","Shakhtar Donetsk","1","4","0.68","0.32","13","5","2","4","0.47","0.53","0.49","8","0.51","Red Bull Arena"
" Group stage: Matchday 1 ","2022-09-06","FALSE","FALSE","FALSE","Borussia Dortmund","København","3","0","0.63","0.37","15","7","4","2","0.49","0.51","0.45","6","0.55","Signal Iduna Park"
" Group stage: Matchday 1 ","2022-09-06","FALSE","FALSE","FALSE","Sevilla","Manchester City","0","4","0.38","0.62","6","24","1","10","0.42","0.58","0.43","2","0.57","Ramón Sánchez Pizjuán"
" Group stage: Matchday 1 ","2022-09-06","FALSE","FALSE","FALSE","Paris Saint-Germain","Juventus","2","1","0.58","0.42","15","13","6","4","0.36","0.64","0.45","3","0.55","Parc des Princes"
" Group stage: Matchday 1 ","2022-09-06","FALSE","FALSE","FALSE","Benfica","Maccabi Haifa","2","0","0.57","0.43","14","7","5","2","0.46","0.54","0.42","8","0.58","Stadion da Luz"
" Group stage: Matchday 1 ","2022-09-07","FALSE","FALSE","FALSE","Ajax","Rangers","4","0","0.76","0.24","17","4","9","1","0.47","0.53","0.45","3","0.55","Amsterdam Arena"
" Group stage: Matchday 1 ","2022-09-07","FALSE","FALSE","FALSE","Napoli","Liverpool","4","1","0.38","0.62","18","15","9","7","0.44","0.56","0.45","8","0.55","San Paolo"
" Group stage: Matchday 1 ","2022-09-07","FALSE","FALSE","FALSE","Atletico Madrid","Porto","2","1","0.54","0.46","10","17","3","3","0.45","0.55","0.38","3","0.62","Vicente Calderon"
" Group stage: Matchday 1 ","2022-09-07","FALSE","FALSE","FALSE","Club Brugge","Bayer Leverkusen","1","0","0.47","0.53","9","14","3","3","0.44","0.56","0.43","1","0.57","Jan Breydel"
" Group stage: Matchday 1 ","2022-09-07","FALSE","FALSE","FALSE","Internazionale","Bayern Munich","0","2","0.44","0.56","9","21","2","11","0.45","0.55","0.41","8","0.59","San Siro"
" Group stage: Matchday 1 ","2022-09-07","FALSE","FALSE","FALSE","Barcelona","Viktoria Plze?","5","1","0.77","0.23","20","8","11","1","0.43","0.57","0.37","10","0.63","Nou Camp"
" Group stage: Matchday 1 ","2022-09-07","FALSE","FALSE","FALSE","Eintracht Frankfurt","Sporting CP","0","3","0.43","0.57","11","8","2","5","0.42","0.58","0.38","10","0.62","Eintracht-Stadion"
" Group stage: Matchday 1 ","2022-09-07","FALSE","FALSE","FALSE","Tottenham Hotspur","Marseille","2","0","0.49","0.51","18","9","2","1","0.45","0.55","0.44","3","0.56","Tottenham Hotspur Stadium"
" Group stage: Matchday 2 ","2022-09-13","FALSE","FALSE","FALSE","Liverpool","Ajax","2","1","0.57","0.43","24","3","10","1","0.48","0.52","0.46","5","0.54","Anfield"
" Group stage: Matchday 2 ","2022-09-13","FALSE","FALSE","FALSE","Rangers","Napoli","0","3","0.46","0.54","22","12","4","5","0.48","0.52","0.35","1","0.65","Ibrox Stadium"
" Group stage: Matchday 2 ","2022-09-13","FALSE","FALSE","FALSE","Bayer Leverkusen","Atletico Madrid","2","0","0.45","0.55","18","12","5","3","0.42","0.58","0.49","2","0.51","BayArena"
" Group stage: Matchday 2 ","2022-09-13","FALSE","FALSE","FALSE","Porto","Club Brugge","0","4","0.55","0.45","15","13","4","7","0.35","0.65","0.44","9","0.56","Estádio do Dragão"
" Group stage: Matchday 2 ","2022-09-13","FALSE","FALSE","FALSE","Viktoria Plze?","Internazionale","0","2","0.28","0.72","8","19","1","8","0.39","0.61","0.4","5","0.6","Doosan Arena"
" Group stage: Matchday 2 ","2022-09-13","FALSE","FALSE","FALSE","Bayern Munich","Barcelona","2","0","0.46","0.54","13","18","4","4","0.39","0.61","0.39","8","0.61","Allianz Arena"
" Group stage: Matchday 2 ","2022-09-13","FALSE","FALSE","FALSE","Sporting CP","Tottenham Hotspur","2","0","0.55","0.45","12","12","6","5","0.45","0.55","0.43","9","0.57","José Alvalade"
" Group stage: Matchday 2 ","2022-09-13","FALSE","FALSE","FALSE","Marseille","Eintracht Frankfurt","0","1","0.61","0.39","8","14","4","7","0.38","0.62","0.36","7","0.64","Vélodrome"
" Group stage: Matchday 2 ","2022-09-14","FALSE","FALSE","FALSE","AC Milan","Dinamo Zagreb","3","1","0.57","0.43","17","7","7","3","0.5","0.5","0.44","6","0.56","San Siro"
" Group stage: Matchday 2 ","2022-09-14","FALSE","FALSE","FALSE","Chelsea","Salzburg","1","1","0.73","0.27","17","4","4","3","0.39","0.61","0.45","8","0.55","Stamford Bridge"
" Group stage: Matchday 2 ","2022-09-14","FALSE","FALSE","FALSE","Shakhtar Donetsk","Celtic","1","1","0.43","0.57","5","16","2","6","0.4","0.6","0.36","10","0.64","Donbass Arena"
" Group stage: Matchday 2 ","2022-09-14","FALSE","FALSE","FALSE","Real Madrid","RB Leipzig","2","0","0.53","0.47","12","9","3","3","0.43","0.57","0.42","1","0.58","Santiago Bernabeu"
" Group stage: Matchday 2 ","2022-09-14","FALSE","FALSE","FALSE","Manchester City","Borussia Dortmund","2","1","0.66","0.34","12","5","3","2","0.5","0.5","0.41","2","0.59","Etihad"
" Group stage: Matchday 2 ","2022-09-14","FALSE","FALSE","FALSE","København","Sevilla","0","0","0.37","0.63","7","11","2","2","0.46","0.54","0.46","2","0.54","Parken Stadium"
" Group stage: Matchday 2 ","2022-09-14","FALSE","FALSE","FALSE","Juventus","Benfica","1","2","0.43","0.57","11","19","3","7","0.39","0.61","0.49","1","0.51","Allianz Stadium"
