"STAGE","DATE","PENS","PENS_HOME_SCORE","PENS_AWAY_SCORE","TEAM_NAME_HOME","TEAM_NAME_AWAY","TEAM_HOME_SCORE","TEAM_AWAY_SCORE","POSSESSION_HOME","POSSESSION_AWAY","TOTAL_SHOTS_HOME","TOTAL_SHOTS_AWAY","SHOTS_ON_TARGET_HOME","SHOTS_ON_TARGET_AWAY","DUELS_WON_HOME","DUELS_WON_AWAY","PREDICTION_TEAM_HOME_WIN","PREDICTION_DRAW","PREDICTION_TEAM_AWAY_WIN","LOCATION"
" Final ","2021-05-29","FALSE","FALSE","FALSE"," Manchester City "," Chelsea ","0","1","0.61","0.39","7","8","1","2","0.5","0.5","0.55","0.03","0.42"," EstÃ¡dio Do DragÃ£o "
" Final ","2021-05-29","FALSE","FALSE","FALSE"," Manchester City "," Chelsea ","0","1","0.61","0.39","7","8","1","2","0.5","0.5","0.55","0.03","0.42"," EstÃ¡dio Do DragÃ£o "
" Semi-finals second leg ","2021-05-05","FALSE","FALSE","FALSE"," Chelsea "," Real Madrid ","2","0","0.32","0.68","15","7","5","5","0.52","0.49","0.43","0.03","0.54"," Stamford Bridge "
" Semi-finals second leg ","2021-05-04","FALSE","FALSE","FALSE"," Manchester City "," PSG ","2","0","0.44","0.56","12","14","5","0","0.53","0.47","0.44","0.03","0.53"," Etihad Stadium "
" Semi-finals first leg ","2021-04-28","FALSE","FALSE","FALSE"," PSG "," Manchester City ","1","2","0.4","0.6","10","11","4","6","0.47","0.53","0.65","0.04","0.31"," Parc des Princes "
" Semi-finals first leg ","2021-04-27","FALSE","FALSE","FALSE"," Real Madrid "," Chelsea ","1","1","0.51","0.49","9","11","1","5","0.49","0.52","0.61","0.04","0.35"," Alfredo Di StÃ©fano "
" Quarter-finals second leg ","2021-04-14","FALSE","FALSE","FALSE"," Liverpool "," Real Madrid ","0","0","0.57","0.43","15","6","4","2","0.5","0.5","0.34","0.03","0.63"," Anfield "
" Quarter-finals second leg ","2021-04-14","FALSE","FALSE","FALSE"," Borussia Dortmund "," Manchester City ","1","2","0.38","0.62","10","17","3","5","0.42","0.58","0.53","0.03","0.44"," SIGNAL IDUNA PARK "
" Quarter-finals second leg ","2021-04-13","FALSE","FALSE","FALSE"," PSG "," Bayern Munich ","0","1","0.44","0.56","10","14","3","5","0.54","0.46","0.55","0.03","0.42"," Parc des Princes "
" Quarter-finals second leg ","2021-04-13","FALSE","FALSE","FALSE"," Chelsea "," FC Porto ","0","1","0.46","0.54","8","8","1","2","0.52","0.48","0.78","0.02","0.2"," RamÃ³n SÃ¡nchez-PizjuÃ¡n "
" Quarter-finals first leg ","2021-04-07","FALSE","FALSE","FALSE"," FC Porto "," Chelsea ","0","2","0.39","0.61","12","6","5","3","0.62","0.38","0.26","0.03","0.71"," RamÃ³n SÃ¡nchez-PizjuÃ¡n "
" Quarter-finals first leg ","2021-04-07","FALSE","FALSE","FALSE"," Bayern Munich "," PSG ","2","3","0.64","0.36","31","6","12","5","0.56","0.44","0.43","0.04","0.53"," Allianz Arena "
" Quarter-finals first leg ","2021-04-06","FALSE","FALSE","FALSE"," Real Madrid "," Liverpool ","3","1","0.45","0.55","16","7","7","1","0.62","0.38","0.56","0.04","0.4"," Alfredo Di StÃ©fano "
" Quarter-finals first leg ","2021-04-06","FALSE","FALSE","FALSE"," Manchester City "," Borussia Dortmund ","2","1","0.62","0.38","11","7","5","3","0.54","0.46","0.6","0.03","0.37"," Etihad Stadium "
" Round of 16 second leg ","2021-03-17","FALSE","FALSE","FALSE"," Chelsea "," AtlÃ©tico Madrid ","2","0","0.57","0.43","16","10","5","4","0.52","0.48","0.54","0.05","0.41"," Stamford Bridge "
" Round of 16 second leg ","2021-03-17","FALSE","FALSE","FALSE"," Bayern Munich "," Lazio ","2","1","0.59","0.41","12","5","4","2","0.53","0.47","0.84","0.02","0.14"," Allianz Arena "
" Round of 16 second leg ","2021-03-16","FALSE","FALSE","FALSE"," Manchester City "," B. Mâ€˜Gladbach ","2","0","0.68","0.32","10","6","6","3","0.55","0.45","0.82","0.02","0.16"," PuskÃ¡s ArÃ©na "
" Round of 16 second leg ","2021-03-16","FALSE","FALSE","FALSE"," Real Madrid "," Atalanta ","3","1","0.53","0.47","12","13","6","5","0.54","0.46","0.65","0.03","0.32"," Alfredo Di StÃ©fano "
" Round of 16 second leg ","2021-03-10","FALSE","FALSE","FALSE"," PSG "," Barcelona ","1","1","0.27","0.73","7","21","3","10","0.55","0.45","0.49","0.03","0.48"," Parc des Princes "
" Round of 16 second leg ","2021-03-10","FALSE","FALSE","FALSE"," Liverpool "," RB Leipzig ","2","0","0.4","0.6","12","11","7","2","0.4","0.6","0.65","0.03","0.32"," PuskÃ¡s ArÃ©na "
" Round of 16 second leg ","2021-03-09","FALSE","FALSE","FALSE"," Juventus "," FC Porto ","3","2","0.69","0.31","31","14","13","7","0.53","0.47","0.7","0.03","0.27"," Allianz Stadium "
" Round of 16 second leg ","2021-03-09","FALSE","FALSE","FALSE"," Borussia Dortmund "," Sevilla ","2","2","0.31","0.69","9","19","5","8","0.56","0.44","0.8","0.03","0.17"," SIGNAL IDUNA PARK "
" Round of 16 first leg ","2021-02-24","FALSE","FALSE","FALSE"," Atalanta "," Real Madrid ","0","1","0.31","0.69","2","19","0","4","0.52","0.48","0.37","0.04","0.59"," Gewiss Stadium "
" Round of 16 first leg ","2021-02-24","FALSE","FALSE","FALSE"," B. Mâ€˜Gladbach "," Manchester City ","0","2","0.39","0.61","3","9","1","4","0.54","0.46","0.2","0.03","0.77"," PuskÃ¡s ArÃ©na "
" Round of 16 first leg ","2021-02-23","FALSE","FALSE","FALSE"," AtlÃ©tico Madrid "," Chelsea ","0","1","0.36","0.64","6","11","0","5","0.58","0.42","0.55","0.06","0.39"," National Arena "
" Round of 16 first leg ","2021-02-23","FALSE","FALSE","FALSE"," Lazio "," Bayern Munich ","1","4","0.43","0.57","14","13","5","7","0.51","0.49","0.17","0.03","0.8"," Olimpico "
" Round of 16 first leg ","2021-02-17","FALSE","FALSE","FALSE"," FC Porto "," Juventus ","2","1","0.34","0.66","8","12","5","5","0.51","0.49","0.19","0.03","0.78"," EstÃ¡dio Do DragÃ£o "
" Round of 16 first leg ","2021-02-17","FALSE","FALSE","FALSE"," Sevilla "," Borussia Dortmund ","2","3","0.66","0.34","12","10","4","5","0.56","0.44","0.33","0.04","0.63"," RamÃ³n SÃ¡nchez-PizjuÃ¡n "
" Round of 16 first leg ","2021-02-16","FALSE","FALSE","FALSE"," Barcelona "," PSG ","1","4","0.53","0.47","12","16","4","9","0.38","0.62","0.53","0.05","0.42"," Camp Nou "
